Dragging Me Down,4:01,Audio Bullys,150 kbps (VBR),Higher Than the Eiffel,Electronic
"Walk Like It, Talk Like It",3:59,Fabolous feat. Ransom & Stack Bundles,150 kbps (VBR),Loso's Way: Rise to Power,Hip-Hop
You Ready?,3:35,Kuniva,150 kbps (VBR),Retribution [Mixtape],Rap
"Bling Blaow, Part 2",3:34,Red Café feat. Fabolous & Paul Wall,151 kbps (VBR),Loso's Way: Rise to Power,Hip-Hop
Champagne & Chronic Feat Solange Knowles,4:48,Solange,151 kbps (VBR),Sol-Angel and the Hadley St. Dreams (Deluxe Edition),Pop
Die Young,3:40,Kuniva,151 kbps (VBR),Retribution [Mixtape],Rap
"No Time To Waste (feat. Kokane, Rob Quest & T-Mac)",4:26,Kurupt & Roscoe,151 kbps (VBR),The Frank & Jess Story,Gangsta Rap
sticks in my bun,2:46,Nicki Minaj,151 kbps (VBR),Playtime Is Over,Hip-Hop
Ask About Me,4:13,Kuniva,152 kbps (VBR),Retribution [Mixtape],Rap
Set It Off,2:15,Nicki Minaj,152 kbps (VBR),Sucka Free,Hip-Hop
Suicide,3:48,Fabolous,152 kbps (VBR),There Is No Competition,Hip-Hop
Back to Do the Damn Thing,2:56,Fabolous,153 kbps (VBR),There Is No Competition,Hip-Hop
Loso's Way Freestyle,2:54,Fabolous,153 kbps (VBR),Loso's Way: Rise to Power,Hip-Hop
Smokin' & Sippin',3:25,Fabolous feat. Paul Cain & Magnificent,153 kbps (VBR),Loso's Way: Rise to Power,Hip-Hop
I'm Gettin' Money,4:05,Fabolous feat. Freck Billionaire,154 kbps (VBR),There Is No Competition,Hip-Hop
n.i.g.g.a.s. (feat. angel de-mar),3:48,Nicki Minaj,154 kbps (VBR),Playtime Is Over,Hip-Hop
Hate On Me (feat. Kokane),4:24,Kurupt & Roscoe,155 kbps (VBR),The Frank & Jess Story,Gangsta Rap
Killem All [feat Swifty McVay],3:14,Kuniva,155 kbps (VBR),Retribution [Mixtape],Rap
Niggas Know,0:27,Fabolous,155 kbps (VBR),There Is No Competition,Hip-Hop
I Don't See Nobody,3:48,Fabolous,156 kbps (VBR),There Is No Competition,Hip-Hop
Ode To Marvin,3:15,Solange,156 kbps (VBR),Sol-Angel and the Hadley St. Dreams (Deluxe Edition),Pop
Fuck 'em All,2:05,Fabolous feat. Red Café,157 kbps (VBR),There Is No Competition,Hip-Hop
Your heart feels,4:23,Thieves Like Us,157 kbps (VBR),Play Music,Electro
dreams 07,2:39,Nicki Minaj,158 kbps (VBR),Playtime Is Over,Hip-Hop
I Got Your Money (Ol' Dirty Bastard),4:16,Say Anything,158 kbps (VBR),Punk Goes Crunk,Rock
Lap Dance,3:53,Kurupt & Roscoe,158 kbps (VBR),The Frank & Jess Story,Gangsta Rap
Here's Another Hit,2:39,Fabolous,159 kbps (VBR),There Is No Competition,Hip-Hop
Rondell's Beat Tape [Skit],2:38,Kuniva,159 kbps (VBR),Retribution [Mixtape],Rap
43 (Feat  B-Legit),3:32,E-40,159 kbps (VBR),Revenue Retrievin' Graveyard Shift,"West Coast Hip Hop,Hyphy"
All Night Long (Feat. Deezie) [Prod. By LexiBanks],3:52,PnB Rock,160 kbps,Real N*gga Bangaz,Hip-Hop
Almost There,3:37,Childish Gambino,160 kbps,Poindexter,Hip-Hop
Amazing ,2:45,mc DJ,160 kbps,mc DJ Presents: FUCK YASELVES!,
Anybody's Anthem,5:25,Machine Gun Kelly,160 kbps,Homecoming,Hip-Hop
The Apple,4:21,Eminem,160 kbps,Straight From The Vault EP,Hip-Hop
The Awesome (feat. MC Chris),3:04,Childish Gambino,160 kbps,Poindexter,Hip-Hop
Back To The Grill (Featuring MC Serch),5:08,Nas,160 kbps,Nasty Nas (91 Demo Tape),Hip-Hop
Best I Ever Had (Bambi Remix),4:33,mc DJ,160 kbps,mc DJ Presents: FUCK YASELVES!,
Bitch Gets Nathan,5:35,E-A-Ski & the Mafia,160 kbps,Bitch U Gets Nathan,Bay Area
Bitch I ball,3:14,Scoe,160 kbps,Tha Influence,Hip-Hop/Rap
Bitch Look At Me Now (Two Weeks),4:04,Childish Gambino,160 kbps,I AM JUST A RAPPER ,Hip-Hop/Rap
Bitch Made Nigga,4:29,E-A-Ski & the Mafia,160 kbps,Bitch U Gets Nathan,Bay Area
Born 2 Be On Top (feat. Hardstone),5:06,Machine Gun Kelly,160 kbps,Homecoming,Hip-Hop
Both Hands (Black Rainbow),3:30,Childish Gambino,160 kbps,I AM JUST A RAPPER 2,Hip-Hop
Bounce,4:04,Machine Gun Kelly,160 kbps,Homecoming,Hip-Hop
California Dreamin,4:06,Scoe,160 kbps,Tha Influence,Hip-Hop/Rap
Candy Store ,1:10,mc DJ,160 kbps,mc DJ Presents: FUCK YASELVES!,
Ceiling Fans,3:48,Machine Gun Kelly,160 kbps,Homecoming,Hip-Hop
Cocaine,3:12,Scoe,160 kbps,Tha Influence,Hip-Hop/Rap
Come Up (Feat. Hollowman & RockStar) [Prod. By R5],5:23,PnB Rock,160 kbps,Real N*gga Bangaz,Hip-Hop
The Crown,2:59,Scoe,160 kbps,Tha Influence,Hip-Hop/Rap
Cubicles (demo),3:57,My Chemical Romance,160 kbps,Dreams of Stabbing and/or Being Stabbed,alternative rock/pop punk
Da Hit,1:00,E-A-Ski & the Mafia,160 kbps,Bitch U Gets Nathan,Bay Area
A Day In The Life [Prod. By Astro],2:08,PnB Rock,160 kbps,Real N*gga Bangaz,Hip-Hop
Deja Vu,3:47,Nas,160 kbps,Nasty Nas (91 Demo Tape),Hip-Hop
Different (Feel it All Around) ft. DC Pierson,2:51,Childish Gambino,160 kbps,I AM JUST A RAPPER 2,Hip-Hop
Divine Comedy,2:50,Machine Gun Kelly,160 kbps,Homecoming,Hip-Hop
Dogg'z Day,2:25,Scoe,160 kbps,Tha Influence,Hip-Hop/Rap
Drop (Gambino Remix),2:48,mc DJ,160 kbps,mc DJ Presents: FUCK YASELVES!,
Emulate (Feat. Obie Trice),3:12,Eminem,160 kbps,Straight From The Vault EP,Hip-Hop
End of Summer,3:34,Scoe,160 kbps,Tha Influence,Hip-Hop/Rap
Extraordinary,3:47,Childish Gambino,160 kbps,Poindexter,Hip-Hop
F*** Stick ,0:56,mc DJ,160 kbps,mc DJ Presents: FUCK YASELVES!,
FDH [Prod. By Astro],2:51,PnB Rock,160 kbps,Real N*gga Bangaz,Hip-Hop
For the Fans (Warm Heart of Africa),1:34,Childish Gambino,160 kbps,I AM JUST A RAPPER 2,Hip-Hop
Freestyle,0:48,mc DJ,160 kbps,mc DJ Presents: FUCK YASELVES!,
Fuck Wit' Street Fam,3:16,Fabolous feat. Neo da Matrix,160 kbps (VBR),There Is No Competition,Hip-Hop
Get It (Tightrope),2:35,Childish Gambino,160 kbps,I AM JUST A RAPPER 2,Hip-Hop
Get Like Me (STREET REMIX!!!),3:08,mc DJ,160 kbps,mc DJ Presents: FUCK YASELVES!,
Get Naked [Prod. By Unknown],3:19,PnB Rock,160 kbps,Real N*gga Bangaz,Hip-Hop
Go Fly,3:01,Scoe,160 kbps,Tha Influence,Hip-Hop/Rap
GoodMourning (feat. Success the King),3:23,Machine Gun Kelly,160 kbps,Homecoming,Hip-Hop
Grind,4:08,Childish Gambino,160 kbps,Poindexter,Hip-Hop
Harmony (Feat. B.Love) [Prod. By Astro],3:39,PnB Rock,160 kbps,Real N*gga Bangaz,Hip-Hop
Hawk Jones (feat. Dree Dei),3:27,Childish Gambino,160 kbps,Poindexter,Hip-Hop
Hell Yeah,3:53,Machine Gun Kelly,160 kbps,Homecoming,Hip-Hop
"Hes A Gangsta (Feat  Messy Marv,The Jacka & Kaveo)",4:18,E-40,160 kbps (VBR),Revenue Retrievin-Night Shift,"West Coast Hip Hop,Gangsta Rap,Hyphy"
Hollerin (feat. Dean),4:00,Childish Gambino,160 kbps,Poindexter,Hip-Hop
Homecoming,4:27,Machine Gun Kelly,160 kbps,Homecoming,Hip-Hop
Homegirls (mcDJ instr),3:43,mc DJ,160 kbps,mc DJ Presents: FUCK YASELVES!,
Hunnit Thousand,2:55,Scoe,160 kbps,Tha Influence,Hip-Hop/Rap
I Am (feat. Slim Gz),4:48,Machine Gun Kelly,160 kbps,Homecoming,Hip-Hop
I Be On That,3:49,Childish Gambino,160 kbps,I AM JUST A RAPPER ,Hip-Hop/Rap
I Can Hear Your Feet (Sunrise),2:57,Childish Gambino,160 kbps,I AM JUST A RAPPER ,Hip-Hop/Rap
I Got Me (Feat. Chizz) [Prod. By Superstar],3:42,PnB Rock,160 kbps,Real N*gga Bangaz,Hip-Hop
I Love Clothes (Deadbeat Summer),4:03,Childish Gambino,160 kbps,I AM JUST A RAPPER ,Hip-Hop/Rap
I Wish (Skee-Lo),2:52,The Secret Handshake,160 kbps (VBR),Punk Goes Crunk,Rock
I'm A Villan,4:23,Nas,160 kbps,Nasty Nas (91 Demo Tape),Hip-Hop
I'm Crazy ft. Cherry ,2:33,mc DJ,160 kbps,mc DJ Presents: FUCK YASELVES!,
 I'm Goin In (Bambini Mix),2:39,mc DJ,160 kbps,mc DJ Presents: FUCK YASELVES!,
I'm So Fly (Elroy),3:15,mc DJ,160 kbps,mc DJ Presents: FUCK YASELVES!,
I'm So Focused (feat. Truff Syrum),3:00,Childish Gambino,160 kbps,Poindexter,Hip-Hop
Ima Roll (Feat. Shotty) [Prod. By Astro],2:56,PnB Rock,160 kbps,Real N*gga Bangaz,Hip-Hop
INTRO,1:01,mc DJ,160 kbps,mc DJ Presents: FUCK YASELVES!,
Intro [Prod. By Chris Roca],2:32,PnB Rock,160 kbps,Real N*gga Bangaz,Hip-Hop
Just Another Day In Projects,3:12,Nas,160 kbps,Nasty Nas (91 Demo Tape),Hip-Hop
Just Blaze (INTRO),0:17,Scoe,160 kbps,Tha Influence,Hip-Hop/Rap
Legacy(Prod.By Lil Rell),2:58,Foolio,160 kbps,Industry Invasion,Hip-Hop
mc DJ scratch 1,0:28,mc DJ,160 kbps,mc DJ Presents: FUCK YASELVES!,
mc DJ scratch 2,0:20,mc DJ,160 kbps,mc DJ Presents: FUCK YASELVES!,
mc DJ scratch 3,0:52,mc DJ,160 kbps,mc DJ Presents: FUCK YASELVES!,
Midwest Takeover,2:21,Machine Gun Kelly,160 kbps,Homecoming,Hip-Hop
Milan [Prod. By Unknown],2:46,PnB Rock,160 kbps,Real N*gga Bangaz,Hip-Hop
Mr. Gambino (Tha Rocker),3:22,mc DJ,160 kbps,mc DJ Presents: FUCK YASELVES!,
My Girls (My Girls) ,3:38,Childish Gambino,160 kbps,I AM JUST A RAPPER ,Hip-Hop/Rap
My Name Bam-B (feat. G.E.T.H.),4:33,Childish Gambino,160 kbps,Poindexter,Hip-Hop
My Zone [Prod. By Turk Beats],2:45,PnB Rock,160 kbps,Real N*gga Bangaz,Hip-Hop
Nas Will Prevail (It Ain't Hard To Tell Original),4:57,Nas,160 kbps,Nasty Nas (91 Demo Tape),Hip-Hop
New Girl,2:56,mc DJ,160 kbps,mc DJ Presents: FUCK YASELVES!,
New Prince (Crown On the Ground),3:49,Childish Gambino,160 kbps,I AM JUST A RAPPER ,Hip-Hop/Rap
New Shit (feat. Von Pea & Phonte) (Bonus),4:27,Drake,160 kbps,Comeback Season,Hip-Hop/Rap
New York Pity ,3:36,mc DJ,160 kbps,mc DJ Presents: FUCK YASELVES!,
No Lie,4:37,Machine Gun Kelly,160 kbps,Homecoming,Hip-Hop
Not At All (Feat. Deek215) [Prod. By Turk Beats],3:15,PnB Rock,160 kbps,Real N*gga Bangaz,Hip-Hop
Nothing At All (feat. Chelsea Bowen),5:02,Machine Gun Kelly,160 kbps,Homecoming,Hip-Hop
Nowhere to Go (disaster babe),1:50,Childish Gambino,160 kbps,I AM JUST A RAPPER 2,Hip-Hop
Number One With A Bullet (Featuring Kool G. Rap & Whiteboy),4:15,Nas,160 kbps,Nasty Nas (91 Demo Tape),Hip-Hop
Oakland Hustla,5:19,E-A-Ski & the Mafia,160 kbps,Bitch U Gets Nathan,Bay Area
One Night,4:14,Machine Gun Kelly,160 kbps,Homecoming,Hip-Hop
Out in Cali2,2:25,mc DJ,160 kbps,mc DJ Presents: FUCK YASELVES!,
OUTRO,1:00,mc DJ,160 kbps,mc DJ Presents: FUCK YASELVES!,
Outro (Prod.By Lil Rell),3:17,Foolio,160 kbps,Industry Invasion,Hip-Hop
Outta Better Way [Prod. By AmpBeatz],3:01,PnB Rock,160 kbps,Real N*gga Bangaz,Hip-Hop
Peace,2:44,Machine Gun Kelly,160 kbps,Homecoming,Hip-Hop
Phat People (feat. Billy Scafuri),3:34,Childish Gambino,160 kbps,Poindexter,Hip-Hop
Picture Me Ballin,3:19,C-Bo,160 kbps,Enemy of The State,
Ready To Go,3:53,Scoe,160 kbps,Tha Influence,Hip-Hop/Rap
The Real (Infinity Guitars),2:31,Childish Gambino,160 kbps,I AM JUST A RAPPER 2,Hip-Hop
Real Good [Prod. By Niceguy Beatz],3:58,PnB Rock,160 kbps,Real N*gga Bangaz,Hip-Hop
Real Nigga Skit (#RNS INTRO),0:19,Scoe,160 kbps,Tha Influence,Hip-Hop/Rap
Right Now (Feat. Chizz & Shizz) [Prod. By JoeyOnTheBeat],4:40,PnB Rock,160 kbps,Real N*gga Bangaz,Hip-Hop
#RNS,3:20,Scoe,160 kbps,Tha Influence,Hip-Hop/Rap
The Rocker,3:17,Childish Gambino,160 kbps,Poindexter,Hip-Hop
Rockstar,2:41,mc DJ,160 kbps,mc DJ Presents: FUCK YASELVES!,
So Much Better,3:03,Childish Gambino,160 kbps,Poindexter,Hip-Hop
So much Better ,3:05,mc DJ,160 kbps,mc DJ Presents: FUCK YASELVES!,
Somebody Gotta Win,3:06,Scoe,160 kbps,Tha Influence,Hip-Hop/Rap
Starlight (feat. DC Pierson & Amber Petty),3:49,Childish Gambino,160 kbps,Poindexter,Hip-Hop
Starlight ft. DC Pierson and Amber Petty,3:48,mc DJ,160 kbps,mc DJ Presents: FUCK YASELVES!,
Steampunk (DC Freestyle) ,1:39,mc DJ,160 kbps,mc DJ Presents: FUCK YASELVES!,
Streets of Oakland,5:02,E-A-Ski & the Mafia,160 kbps,Bitch U Gets Nathan,Bay Area
Stylish (Feat. Leen Bean) [Prod. By Tay Keith],3:15,PnB Rock,160 kbps,Real N*gga Bangaz,Hip-Hop
Sunset Strip,3:41,Scoe,160 kbps,Tha Influence,Hip-Hop/Rap
Sunshine (feat. Dean),4:24,Childish Gambino,160 kbps,Poindexter,Hip-Hop
Sweet Peeder Deeder,5:46,E-A-Ski & the Mafia,160 kbps,Bitch U Gets Nathan,Bay Area
Tell A Lie (Feat. RockStar) [Prod. By R5],3:06,PnB Rock,160 kbps,Real N*gga Bangaz,Hip-Hop
Thank You ,3:11,Scoe/Scoe featuring Kendrick Lamar,160 kbps,Tha Influence,Hip-Hop/Rap
They Aint Ready,2:56,Scoe/Scoe featuring Xzibit,160 kbps,Tha Influence,Hip-Hop/Rap
Thug In Ya Life [Prod. By Chris Roca],3:01,PnB Rock,160 kbps,Real N*gga Bangaz,Hip-Hop
Troubled Man,4:27,E-A-Ski & the Mafia,160 kbps,Bitch U Gets Nathan,Bay Area
The Truth (Goth Star) ft. DC Pierson,3:19,Childish Gambino,160 kbps,I AM JUST A RAPPER ,Hip-Hop/Rap
Turnin Over (Feat. Chizz) [Prod. By TurnUpGang],3:54,PnB Rock,160 kbps,Real N*gga Bangaz,Hip-Hop
Tyme to Get High,2:51,E-A-Ski & the Mafia,160 kbps,Bitch U Gets Nathan,Bay Area
WEE WEE,2:50,Eminem,160 kbps,Straight From The Vault EP,Hip-Hop
What I Be Doin [Prod. By Astro],4:16,PnB Rock,160 kbps,Real N*gga Bangaz,Hip-Hop
What the F*** Are You? (Colouring of Pigeons),2:11,Childish Gambino,160 kbps,I AM JUST A RAPPER 2,Hip-Hop
Where Dey At?,2:48,Scoe,160 kbps,Tha Influence,Hip-Hop/Rap
White Picket Dreams,4:20,Solange,160 kbps,Sol-Angel and the Hadley St. Dreams (Deluxe Edition),Pop
Yes,3:54,Childish Gambino,160 kbps,Poindexter,Hip-Hop
Yung N Free,2:14,PnB Rock,160 kbps,Real N*gga Bangaz,Hip-Hop
08 08 Out in Cali,2:02,mc DJ,160 kbps,mc DJ Presents: FUCK YASELVES!,
10 10 Lingo,1:52,mc DJ,160 kbps,mc DJ Presents: FUCK YASELVES!,
15 15 Fancy Clown (DC Mix),1:18,mc DJ,160 kbps,mc DJ Presents: FUCK YASELVES!,
21 21 Crank dat (Packard Mix),1:39,mc DJ,160 kbps,mc DJ Presents: FUCK YASELVES!,
49ers (Orange Shirt) ft. DC Pierson,2:27,Childish Gambino,160 kbps,I AM JUST A RAPPER ,Hip-Hop/Rap
(?),2:53,Childish Gambino,160 kbps,I AM JUST A RAPPER 2,Hip-Hop
Barbarian,3:32,E-40,161 kbps (VBR),Revenue Retrievin' Graveyard Shift,"West Coast Hip Hop,Hyphy"
jump off 07,2:24,Nicki Minaj,161 kbps (VBR),Playtime Is Over,Hip-Hop
Peter Piper,3:23,Run-D.M.C.,161 kbps (VBR),Raising Hell,Rap
playtime is over,1:46,Nicki Minaj,161 kbps (VBR),Playtime Is Over,Hip-Hop
6 O'Clock Blues,3:37,Solange,161 kbps (VBR),Sol-Angel and the Hadley St. Dreams (Deluxe Edition),Pop
Our Lady of Sorrows (live),3:06,My Chemical Romance,162 kbps (VBR),Headfirst for Halos,alternative rock/pop punk
wuchoo know,2:18,Nicki Minaj,162 kbps (VBR),Playtime Is Over,Hip-Hop
Young Money Ballaz (feat. Lil Wayne),2:38,Nicki Minaj,162 kbps (VBR),Sucka Free,Hip-Hop
Concrete,3:19,E-40,163 kbps (VBR),Revenue Retrievin' Graveyard Shift,"West Coast Hip Hop,Hyphy"
Ego War / Somewhere in the Middle,13:25,Audio Bullys,163 kbps (VBR),Ego War,Club
Firm Biz '08 (feat. Jadakiss),1:37,Nicki Minaj,163 kbps (VBR),Sucka Free,Hip-Hop
Game Been Missin' (feat. Daz Dillinger),4:14,Kurupt & Roscoe,163 kbps (VBR),The Frank & Jess Story,Gangsta Rap
I Like Dem Girls (feat. Gail Gotti),3:26,Kurupt & Roscoe,163 kbps (VBR),The Frank & Jess Story,Gangsta Rap
Intermission/Its On freestyle,3:05,Kuniva,163 kbps (VBR),Retribution [Mixtape],Rap
London Dreamer,4:01,Audio Bullys,163 kbps (VBR),Higher Than the Eiffel,Electronic
sunshine (feat. gravy),2:39,Nicki Minaj,163 kbps (VBR),Playtime Is Over,Hip-Hop
Bad Bitch (Feat  Droop-E),4:10,E-40,164 kbps (VBR),Revenue Retrievin' Graveyard Shift,"West Coast Hip Hop,Hyphy"
God Given Name,2:52,Solange,164 kbps (VBR),Sol-Angel and the Hadley St. Dreams (Deluxe Edition),Pop
"Make It Clear (feat. Tristar, Sandman)",4:22,Kurupt & Roscoe,164 kbps (VBR),Tha Tekneek Files,Rap
Mo Cars Mo Hoes,3:18,Fabolous feat. Freck Billionaire,164 kbps (VBR),There Is No Competition,Hip-Hop
Shotgun,4:56,Audio Bullys,164 kbps (VBR),Higher Than the Eiffel,Electronic
Takin 'Em Back,3:24,E-40,164 kbps (VBR),Revenue Retrievin' Graveyard Shift,"West Coast Hip Hop,Hyphy"
"Back In Tha Hood (feat. Tekneek, AK)",3:55,Kurupt & Roscoe,165 kbps (VBR),Tha Tekneek Files,Rap
Gone From The Ghetto,3:06,Kurupt & Roscoe,165 kbps (VBR),The Frank & Jess Story,Gangsta Rap
Gotta Go Freestyle,2:41,Fabolous,165 kbps (VBR),Loso's Way: Rise to Power,Hip-Hop
Just Grind,4:21,Fabolous feat. Busta Rhymes & Paul Cain,165 kbps (VBR),Loso's Way: Rise to Power,Hip-Hop
Turn Up The Music,3:28,E-40,165 kbps (VBR),Revenue Retrievin-Night Shift,"West Coast Hip Hop,Gangsta Rap,Hyphy"
Twist Me Up,3:12,Audio Bullys,165 kbps (VBR),Higher Than the Eiffel,Electronic
"Attention (Feat  Dru Down,Suga Free & Stomp Down)",4:43,E-40,166 kbps (VBR),Revenue Retrievin-Night Shift,"West Coast Hip Hop,Gangsta Rap,Hyphy"
Don't Try This At Home (Feat  Philthy Rich & Stevie Joe),3:59,E-40,166 kbps (VBR),Revenue Retrievin' Graveyard Shift,"West Coast Hip Hop,Hyphy"
Dope Boys,2:43,Fabolous,166 kbps (VBR),There Is No Competition,Hip-Hop
'N Tha Yard (Interlude),1:20,Daz Dillinger,166 kbps (VBR),Tha Dogg Pound Gangsta LP,Hip-Hop
Pimp by Blood,1:18,Fabolous,166 kbps (VBR),There Is No Competition,Hip-Hop
Some Say,4:11,Fabolous feat. Dilli & Paul Cain,166 kbps (VBR),Loso's Way: Rise to Power,Hip-Hop
"Spend The Night (Feat  Laroo,The DB'z,Droop-E &  B-Slimm)",3:53,E-40,166 kbps (VBR),Revenue Retrievin-Night Shift,"West Coast Hip Hop,Gangsta Rap,Hyphy"
"Trained To Go (Feat  Laroo,The DBz,Mac Shawn100)",3:38,E-40,166 kbps (VBR),Revenue Retrievin-Night Shift,"West Coast Hip Hop,Gangsta Rap,Hyphy"
Don't Forget About Us (remix),5:00,Mariah Carey feat. Fabolous & Styles P,167 kbps (VBR),Loso's Way: Rise to Power,Hip-Hop
Gunz,3:38,E-40,167 kbps (VBR),Revenue Retrievin' Overtime Shift,"West Coast Hip Hop,Hyphy"
Hand on My Glock,3:05,La the Darkman feat. Willie the Kid,167 kbps (VBR),There Is No Competition,Hip-Hop
Rear View Mirror (Feat  B-Legit & Stresmatic),3:13,E-40,167 kbps (VBR),Revenue Retrievin' Overtime Shift,"West Coast Hip Hop,Hyphy"
Check Check (feat. Freeway),4:19,Kurupt & Roscoe,168 kbps (VBR),Tha Tekneek Files,Rap
Im Bout Mine (feat. Jayo Felony),3:07,Kurupt & Roscoe,168 kbps (VBR),Tha Tekneek Files,Rap
Is It Live,3:07,Run-D.M.C.,168 kbps (VBR),Raising Hell,Rap
Long Time Comin' (feat. Ransom),3:16,Nicki Minaj,168 kbps (VBR),Sucka Free,Hip-Hop
Sugar and song,3:06,Thieves Like Us,168 kbps (VBR),Play Music,Electro
Baby (remix),3:18,Fabolous feat. Lil' Mo,169 kbps (VBR),Loso's Way: Rise to Power,Hip-Hop
Mr.Flamboyant 2k11,4:30,E-40,169 kbps (VBR),Revenue Retrievin' Overtime Shift,"West Coast Hip Hop,Hyphy"
Sweetest Girl,3:04,Nicki Minaj,169 kbps (VBR),Sucka Free,Hip-Hop
Tha Paper,3:40,Kurupt & Roscoe,169 kbps (VBR),Tha Tekneek Files,Rap
Dead Wrong '08,2:46,Nicki Minaj,170 kbps (VBR),Sucka Free,Hip-Hop
Outro,2:27,E-40,170 kbps (VBR),In A Major Way,"West Coast Hip Hop,Gangsta Rap"
Sit Em' Sideways,4:02,Fabolous feat. Bleu Davinci,170 kbps (VBR),Loso's Way: Rise to Power,Hip-Hop
Spittin',4:41,E-40,170 kbps (VBR),In A Major Way,"West Coast Hip Hop,Gangsta Rap"
Drums (On With the Story),3:38,Audio Bullys,171 kbps (VBR),Higher Than the Eiffel,Electronic
E Forty,3:50,E-40,171 kbps (VBR),Revenue Retrievin' Graveyard Shift,"West Coast Hip Hop,Hyphy"
I Came for the Money,2:34,Fabolous,171 kbps (VBR),There Is No Competition,Hip-Hop
Lookin For Em Now,4:22,Kurupt & Roscoe,171 kbps (VBR),Tha Tekneek Files,Rap
Outro,0:29,Fabolous,171 kbps (VBR),There Is No Competition,Hip-Hop
Smashin' (feat. Daz Dillinger),2:45,Kurupt & Roscoe,171 kbps (VBR),The Frank & Jess Story,Gangsta Rap
Dancing In The Dark,3:57,Solange,172 kbps (VBR),Sol-Angel and the Hadley St. Dreams (Deluxe Edition),Pop
Freaky Girl (Remix) (feat. Gucci Mane & Lil Kim),3:39,Nicki Minaj,172 kbps (VBR),Sucka Free,Hip-Hop
Graveyard Shift (Feat  Cousin Fik & Choose Up),3:34,E-40,172 kbps (VBR),Revenue Retrievin' Graveyard Shift,"West Coast Hip Hop,Hyphy"
Murda (We Don't Believe You),2:05,Fabolous feat. Paul Cain,172 kbps (VBR),Loso's Way: Rise to Power,Hip-Hop
My Shit Bang,4:03,E-40,172 kbps (VBR),Revenue Retrievin' Graveyard Shift,"West Coast Hip Hop,Hyphy"
Yankin' (Feat  Hot & Laroo T.H.H.),3:24,E-40,172 kbps (VBR),Revenue Retrievin' Graveyard Shift,"West Coast Hip Hop,Hyphy"
Fuck Em',3:24,E-40,173 kbps (VBR),Revenue Retrievin' Overtime Shift,"West Coast Hip Hop,Hyphy"
Hillside,4:02,E-40,173 kbps (VBR),Revenue Retrievin' Overtime Shift,"West Coast Hip Hop,Hyphy"
I Miss U (feat. Gail Gotti & Francci),4:19,Kurupt & Roscoe,173 kbps (VBR),The Frank & Jess Story,Gangsta Rap
Life Is Like A Dice Game,2:40,Nas,173 kbps (VBR),Nasty Nas (91 Demo Tape),Hip-Hop
Paper Touchin',2:46,Red Café,173 kbps (VBR),There Is No Competition,Hip-Hop
The Seed (2.1) (The Roots),4:23,Person L,173 kbps (VBR),Punk Goes Crunk,Rock
Show Me What U Workin With (Feat  Too Short),4:06,E-40,173 kbps (VBR),Revenue Retrievin-Night Shift,"West Coast Hip Hop,Gangsta Rap,Hyphy"
Curious George,2:02,Nicki Minaj,174 kbps (VBR),Sucka Free,Hip-Hop
Day Ain't No,4:31,E-40,174 kbps (VBR),In A Major Way,"West Coast Hip Hop,Gangsta Rap"
Interlude - The Fifth Chamber,1:30,Good Charlotte,174 kbps (VBR),Cardiology,Rock
Smiling Faces,4:02,Audio Bullys,174 kbps (VBR),Higher Than the Eiffel,Electronic
Walk Away (Remix),4:10,Kurupt & Roscoe,174 kbps (VBR),Tha Tekneek Files,Rap
Spooky (Feat  Bosko),4:18,E-40,175 kbps (VBR),Revenue Retrievin' Graveyard Shift,"West Coast Hip Hop,Hyphy"
Chip In Da Phone,0:14,E-40,176 kbps (VBR),In A Major Way,"West Coast Hip Hop,Gangsta Rap"
Introduction To Cardiology,0:47,Good Charlotte,176 kbps (VBR),Cardiology,Rock
"Slow It Down (Feat  J.Stalin,Decadez & Lil Jon)",3:39,E-40,176 kbps (VBR),Revenue Retrievin' Overtime Shift,"West Coast Hip Hop,Hyphy"
"Tha House (Remix) (feat. Red Dollaz, Tekneek, Gillie Da Kid)",4:31,Kurupt & Roscoe,176 kbps (VBR),Tha Tekneek Files,Rap
"This Gang (feat. Bulletz, AK)",4:09,Kurupt & Roscoe,176 kbps (VBR),Tha Tekneek Files,Rap
Drained Out,2:57,Audio Bullys,177 kbps (VBR),Higher Than the Eiffel,Electronic
Drugs (Feat  B-Legit),3:09,E-40,177 kbps (VBR),Revenue Retrievin' Overtime Shift,"West Coast Hip Hop,Hyphy"
"Gun 4 Gun (Remix) (feat. Killah Preist, Nas)",4:02,Kurupt & Roscoe,177 kbps (VBR),Tha Tekneek Files,Rap
The Hitmen,6:07,Fabolous feat. The LOX & J-Hood,177 kbps (VBR),Loso's Way: Rise to Power,Hip-Hop
Lookin' Back (Feat  Devin The Dude),4:25,E-40,177 kbps (VBR),Revenue Retrievin' Overtime Shift,"West Coast Hip Hop,Hyphy"
My Lil Grimey Nigga (Feat  Stressmatic),3:03,E-40,177 kbps (VBR),Revenue Retrievin' Graveyard Shift,"West Coast Hip Hop,Hyphy"
Paperman,3:50,Fabolous feat. Neo da Matrix,177 kbps (VBR),There Is No Competition,Hip-Hop
The Server,3:11,E-40,177 kbps (VBR),Revenue Retrievin-Night Shift,"West Coast Hip Hop,Gangsta Rap,Hyphy"
Whatever I Wan' Do,3:35,Fabolous,177 kbps (VBR),Loso's Way: Rise to Power,Hip-Hop
Cardiology,2:57,Good Charlotte,178 kbps (VBR),Cardiology,Rock
